entry_id,period,doc_ref,source,memo,account_id,debit,credit
JE-2024-01-00,2024-01,2024-01-invoice,invoice,Subscription revenue recognized,2100,359991.67,0.00
JE-2024-01-00,2024-01,2024-01-invoice,invoice,Subscription revenue recognized,4000,0.00,359991.67
JE-2024-01-01,2024-01,2024-01-invoice,invoice,Subscription billed (annual upfront),1100,690108.33,0.00
JE-2024-01-01,2024-01,2024-01-invoice,invoice,Subscription billed (annual upfront),2100,0.00,690108.33
JE-2024-01-02,2024-01,2024-01-invoice,invoice,Services revenue recognized (% complete),1200,42500.00,0.00
JE-2024-01-02,2024-01,2024-01-invoice,invoice,Services revenue recognized (% complete),4100,0.00,42500.00
JE-2024-01-03,2024-01,2024-01-invoice,invoice,Customer collections,1000,189126.14,0.00
JE-2024-01-03,2024-01,2024-01-invoice,invoice,Customer collections,1100,0.00,189126.14
JE-2024-01-04,2024-01,2024-01-payroll,payroll,Payroll,5000,90375.00,0.00
JE-2024-01-04,2024-01,2024-01-payroll,payroll,Payroll,6000,390066.67,0.00
JE-2024-01-04,2024-01,2024-01-payroll,payroll,Payroll,1000,0.00,480441.67
JE-2024-01-05,2024-01,2024-01-ap_bill,ap_bill,Vendor bills (CoR + OpEx),5100,71823.58,0.00
JE-2024-01-05,2024-01,2024-01-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6100,105697.17,0.00
JE-2024-01-05,2024-01,2024-01-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6200,56348.83,0.00
JE-2024-01-05,2024-01,2024-01-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6300,16000.00,0.00
JE-2024-01-05,2024-01,2024-01-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6400,13320.00,0.00
JE-2024-01-05,2024-01,2024-01-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6500,8000.00,0.00
JE-2024-01-05,2024-01,2024-01-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6600,10680.00,0.00
JE-2024-01-05,2024-01,2024-01-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6700,18680.00,0.00
JE-2024-01-05,2024-01,2024-01-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6800,4024.92,0.00
JE-2024-01-05,2024-01,2024-01-ap_bill,ap_bill,Vendor bills (CoR + OpEx),2000,0.00,304574.50
JE-2024-01-06,2024-01,2024-01-ap_bill,ap_bill,AP payments,2000,304172.25,0.00
JE-2024-01-06,2024-01,2024-01-ap_bill,ap_bill,AP payments,1000,0.00,304172.25
JE-2024-01-07,2024-01,2024-01-depreciation,depreciation,Depreciation & amortization,6900,14306.67,0.00
JE-2024-01-07,2024-01,2024-01-depreciation,depreciation,Depreciation & amortization,1500,0.00,14306.67
JE-2024-01-08,2024-01,2024-01-manual,manual,Stock-based compensation (ASC 718),6950,154595.00,0.00
JE-2024-01-08,2024-01,2024-01-manual,manual,Stock-based compensation (ASC 718),3000,0.00,154595.00
JE-2024-01-09,2024-01,2024-01-manual,manual,Capital expenditures,1500,9200.00,0.00
JE-2024-01-09,2024-01,2024-01-manual,manual,Capital expenditures,1000,0.00,9200.00
JE-2024-01-10,2024-01,2024-01-prepaid_amort,prepaid_amort,Prepaid expense movement,1300,126083.40,0.00
JE-2024-01-10,2024-01,2024-01-prepaid_amort,prepaid_amort,Prepaid expense movement,1000,0.00,126083.40
JE-2024-01-11,2024-01,2024-01-manual,manual,Interest income,1000,25000.00,0.00
JE-2024-01-11,2024-01,2024-01-manual,manual,Interest income,7000,0.00,25000.00
JE-2024-02-00,2024-02,2024-02-invoice,invoice,Subscription revenue recognized,2100,368037.50,0.00
JE-2024-02-00,2024-02,2024-02-invoice,invoice,Subscription revenue recognized,4000,0.00,368037.50
JE-2024-02-01,2024-02,2024-02-invoice,invoice,Subscription billed (annual upfront),1100,215950.00,0.00
JE-2024-02-01,2024-02,2024-02-invoice,invoice,Subscription billed (annual upfront),2100,0.00,215950.00
JE-2024-02-02,2024-02,2024-02-invoice,invoice,Services revenue recognized (% complete),1200,42500.00,0.00
JE-2024-02-02,2024-02,2024-02-invoice,invoice,Services revenue recognized (% complete),4100,0.00,42500.00
JE-2024-02-03,2024-02,2024-02-invoice,invoice,Services billed,1100,42500.00,0.00
JE-2024-02-03,2024-02,2024-02-invoice,invoice,Services billed,1200,0.00,42500.00
JE-2024-02-04,2024-02,2024-02-invoice,invoice,Customer collections,1000,577758.90,0.00
JE-2024-02-04,2024-02,2024-02-invoice,invoice,Customer collections,1100,0.00,577758.90
JE-2024-02-05,2024-02,2024-02-payroll,payroll,Payroll,5000,90375.00,0.00
JE-2024-02-05,2024-02,2024-02-payroll,payroll,Payroll,6000,390066.67,0.00
JE-2024-02-05,2024-02,2024-02-payroll,payroll,Payroll,1000,0.00,480441.67
JE-2024-02-06,2024-02,2024-02-ap_bill,ap_bill,Vendor bills (CoR + OpEx),5100,73191.38,0.00
JE-2024-02-06,2024-02,2024-02-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6100,105697.17,0.00
JE-2024-02-06,2024-02,2024-02-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6200,57475.25,0.00
JE-2024-02-06,2024-02,2024-02-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6300,16000.00,0.00
JE-2024-02-06,2024-02,2024-02-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6400,13320.00,0.00
JE-2024-02-06,2024-02,2024-02-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6500,8000.00,0.00
JE-2024-02-06,2024-02,2024-02-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6600,10680.00,0.00
JE-2024-02-06,2024-02,2024-02-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6700,18680.00,0.00
JE-2024-02-06,2024-02,2024-02-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6800,4105.38,0.00
JE-2024-02-06,2024-02,2024-02-ap_bill,ap_bill,Vendor bills (CoR + OpEx),2000,0.00,307149.17
JE-2024-02-07,2024-02,2024-02-ap_bill,ap_bill,AP payments,2000,305879.47,0.00
JE-2024-02-07,2024-02,2024-02-ap_bill,ap_bill,AP payments,1000,0.00,305879.47
JE-2024-02-08,2024-02,2024-02-depreciation,depreciation,Depreciation & amortization,6900,14613.33,0.00
JE-2024-02-08,2024-02,2024-02-depreciation,depreciation,Depreciation & amortization,1500,0.00,14613.33
JE-2024-02-09,2024-02,2024-02-manual,manual,Stock-based compensation (ASC 718),6950,154595.00,0.00
JE-2024-02-09,2024-02,2024-02-manual,manual,Stock-based compensation (ASC 718),3000,0.00,154595.00
JE-2024-02-10,2024-02,2024-02-manual,manual,Capital expenditures,1500,9200.00,0.00
JE-2024-02-10,2024-02,2024-02-manual,manual,Capital expenditures,1000,0.00,9200.00
JE-2024-02-11,2024-02,2024-02-prepaid_amort,prepaid_amort,Prepaid expense movement,1300,793.56,0.00
JE-2024-02-11,2024-02,2024-02-prepaid_amort,prepaid_amort,Prepaid expense movement,1000,0.00,793.56
JE-2024-02-12,2024-02,2024-02-manual,manual,Interest income,1000,22647.43,0.00
JE-2024-02-12,2024-02,2024-02-manual,manual,Interest income,7000,0.00,22647.43
JE-2024-03-00,2024-03,2024-03-invoice,invoice,Subscription revenue recognized,2100,390029.17,0.00
JE-2024-03-00,2024-03,2024-03-invoice,invoice,Subscription revenue recognized,4000,0.00,390029.17
JE-2024-03-01,2024-03,2024-03-invoice,invoice,Subscription billed (annual upfront),1100,340600.00,0.00
JE-2024-03-01,2024-03,2024-03-invoice,invoice,Subscription billed (annual upfront),2100,0.00,340600.00
JE-2024-03-02,2024-03,2024-03-invoice,invoice,Services revenue recognized (% complete),1200,73250.00,0.00
JE-2024-03-02,2024-03,2024-03-invoice,invoice,Services revenue recognized (% complete),4100,0.00,73250.00
JE-2024-03-03,2024-03,2024-03-invoice,invoice,Services billed,1100,42500.00,0.00
JE-2024-03-03,2024-03,2024-03-invoice,invoice,Services billed,1200,0.00,42500.00
JE-2024-03-04,2024-03,2024-03-invoice,invoice,Customer collections,1000,428065.07,0.00
JE-2024-03-04,2024-03,2024-03-invoice,invoice,Customer collections,1100,0.00,428065.07
JE-2024-03-05,2024-03,2024-03-payroll,payroll,Payroll,5000,90375.00,0.00
JE-2024-03-05,2024-03,2024-03-payroll,payroll,Payroll,6000,401391.67,0.00
JE-2024-03-05,2024-03,2024-03-payroll,payroll,Payroll,1000,0.00,491766.67
JE-2024-03-06,2024-03,2024-03-ap_bill,ap_bill,Vendor bills (CoR + OpEx),5100,84617.46,0.00
JE-2024-03-06,2024-03,2024-03-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6100,108188.67,0.00
JE-2024-03-06,2024-03,2024-03-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6200,64859.08,0.00
JE-2024-03-06,2024-03,2024-03-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6300,16400.00,0.00
JE-2024-03-06,2024-03,2024-03-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6400,13653.00,0.00
JE-2024-03-06,2024-03,2024-03-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6500,8200.00,0.00
JE-2024-03-06,2024-03,2024-03-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6600,10947.00,0.00
JE-2024-03-06,2024-03,2024-03-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6700,19147.00,0.00
JE-2024-03-06,2024-03,2024-03-ap_bill,ap_bill,Vendor bills (CoR + OpEx),6800,4632.79,0.00
JE-2024-03-06,2024-03,2024-03-ap_bill,ap_bill,Vendor bills (CoR + OpEx),2000,0.00,330645.00
JE-2024-03-07,2024-03,2024-03-ap_bill,ap_bill,AP payments,2000,322497.11,0.00
JE-2024-03-07,2024-03,2024-03-ap_bill,ap_bill,AP payments,1000,0.00,322497.11
JE-2024-03-08,2024-03,2024-03-depreciation,depreciation,Depreciation & amortization,6900,15127.67,0.00
JE-2024-03-08,2024-03,2024-03-depreciation,depreciation,Depreciation & amortization,1500,0.00,15127.67
JE-2024-03-09,2024-03,2024-03-manual,manual,Stock-based compensation (ASC 718),6950,159370.38,0.00
JE-2024-03-09,2024-03,2024-03-manual,manual,Stock-based compensation (ASC 718),3000,0.00,159370.38
JE-2024-03-10,2024-03,2024-03-manual,manual,Operating lease (ASC 842),1600,12000.00,0.00
