id,doc_number,staff_id,period,period_label,date,gross_pay,employee_taxes,benefits,net_pay
PC-2024-01-0000,PAY-2024-0001,staff-professional-services-0,2024-01,2024-01 1st half,2024-01-15,8550.00,2706.08,752.42,5091.50
PC-2024-01-0001,PAY-2024-0002,staff-professional-services-0,2024-01,2024-01 2nd half,2024-01-31,8550.00,2706.08,752.42,5091.50
PC-2024-02-0002,PAY-2024-0003,staff-professional-services-0,2024-02,2024-02 1st half,2024-02-15,8550.00,2706.08,752.42,5091.50
PC-2024-02-0003,PAY-2024-0004,staff-professional-services-0,2024-02,2024-02 2nd half,2024-02-29,8550.00,2706.08,752.42,5091.50
PC-2024-03-0004,PAY-2024-0005,staff-professional-services-0,2024-03,2024-03 1st half,2024-03-15,8550.00,2706.08,752.42,5091.50
PC-2024-03-0005,PAY-2024-0006,staff-professional-services-0,2024-03,2024-03 2nd half,2024-03-31,8550.00,2706.08,752.42,5091.50
PC-2024-04-0006,PAY-2024-0007,staff-professional-services-0,2024-04,2024-04 1st half,2024-04-15,8550.00,2706.08,752.42,5091.50
PC-2024-04-0007,PAY-2024-0008,staff-professional-services-0,2024-04,2024-04 2nd half,2024-04-30,8550.00,2706.08,752.42,5091.50
PC-2024-05-0008,PAY-2024-0009,staff-professional-services-0,2024-05,2024-05 1st half,2024-05-15,8550.00,2706.08,752.42,5091.50
PC-2024-05-0009,PAY-2024-0010,staff-professional-services-0,2024-05,2024-05 2nd half,2024-05-31,8550.00,2706.08,752.42,5091.50
PC-2024-06-0010,PAY-2024-0011,staff-professional-services-0,2024-06,2024-06 1st half,2024-06-15,8550.00,2706.08,752.42,5091.50
PC-2024-06-0011,PAY-2024-0012,staff-professional-services-0,2024-06,2024-06 2nd half,2024-06-30,8550.00,2706.08,752.42,5091.50
PC-2024-07-0012,PAY-2024-0013,staff-professional-services-0,2024-07,2024-07 1st half,2024-07-15,8550.00,2706.08,752.42,5091.50
PC-2024-07-0013,PAY-2024-0014,staff-professional-services-0,2024-07,2024-07 2nd half,2024-07-31,8550.00,2706.08,752.42,5091.50
PC-2024-08-0014,PAY-2024-0015,staff-professional-services-0,2024-08,2024-08 1st half,2024-08-15,8550.00,2706.08,752.42,5091.50
PC-2024-08-0015,PAY-2024-0016,staff-professional-services-0,2024-08,2024-08 2nd half,2024-08-31,8550.00,2706.08,752.42,5091.50
PC-2024-09-0016,PAY-2024-0017,staff-professional-services-0,2024-09,2024-09 1st half,2024-09-15,8550.00,2706.08,752.42,5091.50
PC-2024-09-0017,PAY-2024-0018,staff-professional-services-0,2024-09,2024-09 2nd half,2024-09-30,8550.00,2706.08,752.42,5091.50
PC-2024-10-0018,PAY-2024-0019,staff-professional-services-0,2024-10,2024-10 1st half,2024-10-15,8550.00,2706.08,752.42,5091.50
PC-2024-10-0019,PAY-2024-0020,staff-professional-services-0,2024-10,2024-10 2nd half,2024-10-31,8550.00,2557.28,752.42,5240.30
PC-2024-11-0020,PAY-2024-0021,staff-professional-services-0,2024-11,2024-11 1st half,2024-11-15,8550.00,2175.98,752.42,5621.60
PC-2024-11-0021,PAY-2024-0022,staff-professional-services-0,2024-11,2024-11 2nd half,2024-11-30,8550.00,2175.98,752.42,5621.60
PC-2024-12-0022,PAY-2024-0023,staff-professional-services-0,2024-12,2024-12 1st half,2024-12-15,13680.00,3481.56,1203.88,8994.56
PC-2024-12-0023,PAY-2024-0024,staff-professional-services-0,2024-12,2024-12 2nd half,2024-12-31,13680.00,3481.56,1203.88,8994.56
PC-2025-01-0024,PAY-2025-0001,staff-professional-services-0,2025-01,2025-01 1st half,2025-01-15,8849.25,2800.78,778.76,5269.71
PC-2025-01-0025,PAY-2025-0002,staff-professional-services-0,2025-01,2025-01 2nd half,2025-01-31,8849.25,2800.78,778.76,5269.71
PC-2025-02-0026,PAY-2025-0003,staff-professional-services-0,2025-02,2025-02 1st half,2025-02-15,8849.25,2800.78,778.76,5269.71
PC-2025-02-0027,PAY-2025-0004,staff-professional-services-0,2025-02,2025-02 2nd half,2025-02-28,8849.25,2800.78,778.76,5269.71
PC-2025-03-0028,PAY-2025-0005,staff-professional-services-0,2025-03,2025-03 1st half,2025-03-15,8849.25,2800.78,778.76,5269.71
PC-2025-03-0029,PAY-2025-0006,staff-professional-services-0,2025-03,2025-03 2nd half,2025-03-31,8849.25,2800.78,778.76,5269.71
PC-2025-04-0030,PAY-2025-0007,staff-professional-services-0,2025-04,2025-04 1st half,2025-04-15,8849.25,2800.78,778.76,5269.71
PC-2025-04-0031,PAY-2025-0008,staff-professional-services-0,2025-04,2025-04 2nd half,2025-04-30,8849.25,2800.78,778.76,5269.71
PC-2025-05-0032,PAY-2025-0009,staff-professional-services-0,2025-05,2025-05 1st half,2025-05-15,8849.25,2800.78,778.76,5269.71
PC-2025-05-0033,PAY-2025-0010,staff-professional-services-0,2025-05,2025-05 2nd half,2025-05-31,8849.25,2800.78,778.76,5269.71
PC-2025-06-0034,PAY-2025-0011,staff-professional-services-0,2025-06,2025-06 1st half,2025-06-15,8849.25,2800.78,778.76,5269.71
PC-2025-06-0035,PAY-2025-0012,staff-professional-services-0,2025-06,2025-06 2nd half,2025-06-30,8849.25,2800.78,778.76,5269.71
PC-2025-07-0036,PAY-2025-0013,staff-professional-services-0,2025-07,2025-07 1st half,2025-07-15,8849.25,2800.78,778.76,5269.71
PC-2025-07-0037,PAY-2025-0014,staff-professional-services-0,2025-07,2025-07 2nd half,2025-07-31,8849.25,2800.78,778.76,5269.71
PC-2025-08-0038,PAY-2025-0015,staff-professional-services-0,2025-08,2025-08 1st half,2025-08-15,8849.25,2800.78,778.76,5269.71
PC-2025-08-0039,PAY-2025-0016,staff-professional-services-0,2025-08,2025-08 2nd half,2025-08-31,8849.25,2800.78,778.76,5269.71
PC-2025-09-0040,PAY-2025-0017,staff-professional-services-0,2025-09,2025-09 1st half,2025-09-15,8849.25,2800.78,778.76,5269.71
PC-2025-09-0041,PAY-2025-0018,staff-professional-services-0,2025-09,2025-09 2nd half,2025-09-30,8849.25,2800.78,778.76,5269.71
PC-2025-10-0042,PAY-2025-0019,staff-professional-services-0,2025-10,2025-10 1st half,2025-10-15,8849.25,2800.78,778.76,5269.71
PC-2025-10-0043,PAY-2025-0020,staff-professional-services-0,2025-10,2025-10 2nd half,2025-10-31,8849.25,2280.91,778.76,5789.58
PC-2025-11-0044,PAY-2025-0021,staff-professional-services-0,2025-11,2025-11 1st half,2025-11-15,8849.25,2252.13,778.76,5818.36
PC-2025-11-0045,PAY-2025-0022,staff-professional-services-0,2025-11,2025-11 2nd half,2025-11-30,8849.25,2252.13,778.76,5818.36
PC-2025-12-0046,PAY-2025-0023,staff-professional-services-0,2025-12,2025-12 1st half,2025-12-15,14158.80,3603.41,1246.01,9309.38
