contract_id,customer_id,customer_name,tier,period,recognized,deferred,arr
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-01,21312.50,213125.00,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-02,21312.50,191812.50,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-03,21312.50,170500.00,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-04,21312.50,149187.50,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-05,21312.50,127875.00,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-06,21312.50,106562.50,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-07,21312.50,85250.00,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-08,21312.50,63937.50,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-09,21312.50,42625.00,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-10,21312.50,21312.50,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-11,21312.50,0.00,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2024-12,21312.50,234437.50,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-01,21312.50,213125.00,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-02,21312.50,191812.50,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-03,21312.50,170500.00,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-04,21312.50,149187.50,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-05,21312.50,127875.00,255750.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-06,25241.67,126208.33,302900.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-07,25241.67,100966.67,302900.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-08,25241.67,75725.00,302900.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-09,25241.67,50483.33,302900.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-10,25241.67,25241.67,302900.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-11,25241.67,-0.00,302900.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2025-12,25241.67,277658.33,302900.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-01,27008.33,270083.33,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-02,27008.33,243075.00,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-03,27008.33,216066.67,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-04,27008.33,189058.33,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-05,27008.33,162050.00,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-06,27008.33,135041.67,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-07,27008.33,108033.33,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-08,27008.33,81025.00,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-09,27008.33,54016.67,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-10,27008.33,27008.33,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-11,27008.33,-0.00,324100.00
C-sub-init-0,sub-init-0,Northwind Cloud,growth,2026-12,27008.33,297091.67,324100.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-01,16795.83,151162.50,201550.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-02,16795.83,134366.67,201550.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-03,16795.83,117570.83,201550.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-04,16795.83,100775.00,201550.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-05,21475.00,107375.00,257700.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-06,21475.00,85900.00,257700.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-07,24950.00,74850.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-08,24950.00,49900.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-09,24950.00,24950.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-10,24950.00,0.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-11,24950.00,274450.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2024-12,24950.00,249500.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-01,24950.00,224550.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-02,24950.00,199600.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-03,24950.00,174650.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-04,24950.00,149700.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-05,24950.00,124750.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-06,24950.00,99800.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-07,24950.00,74850.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-08,24950.00,49900.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-09,24950.00,24950.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-10,24950.00,0.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-11,24950.00,274450.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2025-12,24950.00,249500.00,299400.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-01,26695.83,240262.50,320350.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-02,26695.83,213566.67,320350.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-03,26695.83,186870.83,320350.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-04,26695.83,160175.00,320350.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-05,26695.83,133479.17,320350.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-06,26695.83,106783.33,320350.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-07,31754.17,95262.50,381050.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-08,31754.17,63508.33,381050.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-09,31754.17,31754.17,381050.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-10,31754.17,-0.00,381050.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-11,31754.17,349295.83,381050.00
C-sub-init-1,sub-init-1,Helix AI,growth,2026-12,31754.17,317541.67,381050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-01,4337.50,34700.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-02,4337.50,30362.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-03,4337.50,26025.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-04,4337.50,21687.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-05,4337.50,17350.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-06,4337.50,13012.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-07,4337.50,8675.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-08,4337.50,4337.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-09,4337.50,0.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-10,4337.50,47712.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-11,4337.50,43375.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2024-12,4337.50,39037.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-01,4337.50,34700.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-02,4337.50,30362.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-03,4337.50,26025.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-04,4337.50,21687.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-05,4337.50,17350.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-06,4337.50,13012.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-07,4337.50,8675.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-08,4337.50,4337.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-09,4337.50,0.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-10,4337.50,47712.50,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-11,4337.50,43375.00,52050.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2025-12,5033.33,45300.00,60400.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-01,5387.50,43100.00,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-02,5387.50,37712.50,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-03,5387.50,32325.00,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-04,5387.50,26937.50,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-05,5387.50,21550.00,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-06,5387.50,16162.50,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-07,5387.50,10775.00,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-08,5387.50,5387.50,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-09,5387.50,0.00,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-10,5387.50,59262.50,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-11,5387.50,53875.00,64650.00
C-sub-init-2,sub-init-2,Atlas Data,starter,2026-12,5387.50,48487.50,64650.00
C-sub-init-3,sub-init-3,Cedar Security,growth,2024-01,12420.83,86945.83,149050.00
C-sub-init-3,sub-init-3,Cedar Security,growth,2024-02,12420.83,74525.00,149050.00
C-sub-init-3,sub-init-3,Cedar Security,growth,2024-03,12420.83,62104.17,149050.00
C-sub-init-3,sub-init-3,Cedar Security,growth,2024-04,12420.83,49683.33,149050.00
C-sub-init-3,sub-init-3,Cedar Security,growth,2024-05,12420.83,37262.50,149050.00
C-sub-init-3,sub-init-3,Cedar Security,growth,2024-06,12420.83,24841.67,149050.00
C-sub-init-3,sub-init-3,Cedar Security,growth,2024-07,12420.83,12420.83,149050.00
C-sub-init-3,sub-init-3,Cedar Security,growth,2024-08,14179.17,0.00,170150.00
