id,doc_number,staff_id,project_id,period,date,week_label,hours,bill_rate,cost_rate,billable_value,labor_cost
TS-2024-01-00000,TS-2024-0001,staff-professional-services-0,svc-sub-0-0,2024-01,2024-01-08,2024-01-W1,21.2,211.00,157.45,4473.72,3338.33
TS-2024-01-00001,TS-2024-0002,staff-professional-services-0,svc-sub-0-0,2024-01,2024-01-13,2024-01-W2,16.5,211.00,157.45,3489.96,2604.24
TS-2024-01-00002,TS-2024-0003,staff-professional-services-0,svc-sub-0-0,2024-01,2024-01-19,2024-01-W3,20.2,211.00,157.45,4257.29,3176.83
TS-2024-01-00003,TS-2024-0004,staff-professional-services-0,svc-sub-0-0,2024-01,2024-01-25,2024-01-W4,11.1,211.00,157.45,2346.91,1751.28
TS-2024-01-00004,TS-2024-0005,staff-professional-services-0,svc-sub-0-0,2024-01,2024-01-31,2024-01-W5,21.6,211.00,157.45,4551.25,3396.18
TS-2024-01-00005,TS-2024-0006,staff-professional-services-3,svc-sub-0-0,2024-01,2024-01-07,2024-01-W1,12.6,203.00,150.17,2549.65,1886.11
TS-2024-01-00006,TS-2024-0007,staff-professional-services-3,svc-sub-0-0,2024-01,2024-01-13,2024-01-W2,14,203.00,150.17,2847.12,2106.17
TS-2024-01-00007,TS-2024-0008,staff-professional-services-3,svc-sub-0-0,2024-01,2024-01-19,2024-01-W3,13,203.00,150.17,2634.84,1949.13
TS-2024-01-00008,TS-2024-0009,staff-professional-services-3,svc-sub-0-0,2024-01,2024-01-25,2024-01-W4,14.5,203.00,150.17,2947.75,2180.61
TS-2024-01-00009,TS-2024-0010,staff-professional-services-3,svc-sub-0-0,2024-01,2024-01-31,2024-01-W5,19.2,203.00,150.17,3901.51,2886.16
TS-2024-01-00010,TS-2024-0011,staff-professional-services-2,svc-sub-0-1,2024-01,2024-01-07,2024-01-W1,8.3,197.00,125.02,1636.68,1038.67
TS-2024-01-00011,TS-2024-0012,staff-professional-services-2,svc-sub-0-1,2024-01,2024-01-13,2024-01-W2,7.7,197.00,125.02,1526.03,968.45
TS-2024-01-00012,TS-2024-0013,staff-professional-services-2,svc-sub-0-1,2024-01,2024-01-19,2024-01-W3,5.8,197.00,125.02,1148.94,729.14
TS-2024-01-00013,TS-2024-0014,staff-professional-services-2,svc-sub-0-1,2024-01,2024-01-25,2024-01-W4,10.5,197.00,125.02,2062.10,1308.65
