period,account_code,account_name,debit,credit
2026-05,1000,Cash,17829345.20,0.00
2026-05,1100,Accounts Receivable,2531999.03,0.00
2026-05,1200,Unbilled WIP,288750.00,0.00
2026-05,1300,Prepaid Expenses,809630.20,0.00
2026-05,1500,"Fixed Assets, net",546340.00,0.00
2026-05,1600,Right-of-Use Asset,1294000.00,0.00
2026-05,2000,Accounts Payable,0.00,872804.03
2026-05,2100,Deferred Revenue,0.00,8060304.17
2026-05,2200,Lease Liability,0.00,1294000.00
2026-05,3000,Paid-in Capital,0.00,40728924.81
2026-05,3100,Accumulated Deficit,23625449.96,0.00
2026-05,4000,Subscription Revenue,0.00,7074012.50
2026-05,4100,Services Revenue,0.00,1218199.69
2026-05,5000,Direct Payroll,875299.02,0.00
2026-05,5100,Non-employee Cost of Revenue,1507132.05,0.00
2026-05,6000,Indirect Payroll,5050811.27,0.00
2026-05,6100,Employee Expenses,1303744.26,0.00
2026-05,6200,Sales & Marketing,1260909.71,0.00
2026-05,6300,Travel & Entertainment,205600.00,0.00
2026-05,6400,IT,171162.00,0.00
2026-05,6500,HR,102800.00,0.00
2026-05,6600,Admin,137238.00,0.00
2026-05,6700,Facilities,240038.00,0.00
2026-05,6800,Insurance,82922.12,0.00
2026-05,6950,Stock-based Compensation,1522211.74,0.00
2026-05,6900,Depreciation & Amortization,201738.67,0.00
2026-05,7000,Interest Income,0.00,338876.03
2026-05,7100,Income Tax,0.00,0.00
