period,account_code,account_name,debit,credit
2026-06,1000,Cash,17079838.76,0.00
2026-06,1100,Accounts Receivable,2600151.63,0.00
2026-06,1200,Unbilled WIP,291750.00,0.00
2026-06,1300,Prepaid Expenses,836442.93,0.00
2026-06,1500,"Fixed Assets, net",551497.67,0.00
2026-06,1600,Right-of-Use Asset,1340000.00,0.00
2026-06,2000,Accounts Payable,0.00,901601.42
2026-06,2100,Deferred Revenue,0.00,7910691.67
2026-06,2200,Lease Liability,0.00,1340000.00
2026-06,3000,Paid-in Capital,0.00,41068443.24
2026-06,3100,Accumulated Deficit,23625449.96,0.00
2026-06,4000,Subscription Revenue,0.00,8581950.00
2026-06,4100,Services Revenue,0.00,1509949.69
2026-06,5000,Direct Payroll,1069484.61,0.00
2026-06,5100,Non-employee Cost of Revenue,1836418.92,0.00
2026-06,6000,Indirect Payroll,6206532.22,0.00
2026-06,6100,Employee Expenses,1600723.70,0.00
2026-06,6200,Sales & Marketing,1412865.96,0.00
2026-06,6300,Travel & Entertainment,252000.00,0.00
2026-06,6400,IT,209790.00,0.00
2026-06,6500,HR,126000.00,0.00
2026-06,6600,Admin,168210.00,0.00
2026-06,6700,Facilities,294210.00,0.00
2026-06,6800,Insurance,100919.00,0.00
2026-06,6950,Stock-based Compensation,1861730.17,0.00
2026-06,6900,Depreciation & Amortization,247261.00,0.00
2026-06,7000,Interest Income,0.00,398640.51
2026-06,7100,Income Tax,0.00,0.00
